gene,mean_recurrence,meth_vs_exp_R_mean,meth_vs_exp_maxPvalue,age_vs_exp_R,age_vs_exp_Pvalue
SLC25A46,0.101137241912333,-0.2670154978601012,1.473736763346712e-90,-0.1685637482131335,0.0218500095470369
B3GNT9,0.1003643590592911,-0.3019191151324096,2.7921431835853724e-184,-0.2128002344392182,2.4021732269099208e-05
IL10RB,0.0997018880423981,-0.2647687768977881,1.2455098996457591e-139,-0.3290935986968074,1.0771257511316711e-16
PLCL1,0.0983769460086121,-0.1062340572554531,2.8180949611530622e-18,-0.2514711788920998,1.6111778658587904e-08
ICA1,0.0967207684663796,-0.2600932117797316,1.5760317257472585e-134,-0.1636850834567839,0.0420497068873051
SLC35C2,0.0960582974494865,-0.0938291994211257,4.697111936285474e-15,-0.2236628815225677,3.515807582257773e-06
THNSL1,0.0953958264325935,-0.0902971630748673,0.0003461502264279,-0.1781177211524882,0.005739861807795
ZNF114,0.0940708843988075,-0.2191722278491481,3.3240378003465795e-77,-0.1931590941684051,0.0006028691881066
TMEM168,0.0940708843988075,-0.2961951242527139,6.425946837677601e-177,-0.1901773609067134,0.0009562767361728
OAT,0.0939052666445843,-0.4343750749206109,0.0,-0.1992268151265068,0.0002305148329874
HTATIP2,0.093739648890361,-0.5094533202294439,0.0,-0.3234461731851141,5.175696924911578e-16
KIAA1614,0.0934084133819145,-0.0778449986570345,1.3439293751266456e-09,-0.2927202592901683,1.504806057042336e-12
INO80C,0.0909793529866401,-0.127421356749237,4.82333656673076e-24,-0.2216242705818647,5.081411736536546e-06
C4orf48,0.0907585293143425,-0.1566963835734421,1.9747866750571363e-46,-0.2010814245231557,0.0001707836565767
RNF141,0.0891023517721099,-0.0744601327801872,1.43923667842413e-08,-0.2626128017288203,1.5351986594570923e-09
ISM2,0.0874461742298774,-0.2148411472337276,1.0393614262751488e-79,-0.1689889029691643,0.0206199643755734
CTSC,0.0871149387214309,-0.273274859426165,2.734974146112265e-149,-0.2626922530942382,1.5090645555021355e-09
TMEM11,0.0867837032129844,-0.0735931990375002,2.5799766304432536e-08,-0.3048673783238478,7.19404634044181e-14
CITED4,0.0861212321960914,-0.2849952592389773,4.12029731981887e-163,-0.1801324866302626,0.0042896630217136
FAM114A1,0.0859556144418681,-0.1400240924212284,6.306537770737046e-29,-0.1725267936818273,0.0126611331947422
ZNF230,0.0857899966876449,-0.0594140634755042,0.00015405644206,-0.2717974461978503,2.0297382498920088e-10
SMARCD3,0.0851275256707519,-0.1096223550125081,1.9484528815409183e-21,-0.251789122341154,1.508981409956132e-08
SACM1L,0.0846858783261565,-0.1086664242575192,1.2403067209569424e-08,-0.1892533969299204,0.0011016139478001
GALNT3,0.08435464281771,-0.3041975949620941,2.201517200659008e-97,-0.2330775976631873,6.125125498524623e-07
ZNF264,0.0833609362923705,-0.4644369102995253,0.0,-0.2461391928230216,4.7704346827667815e-08
PPM1H,0.083029700783924,-0.1597695571081933,5.429207019094049e-43,-0.3050658535819974,6.83713628656309e-14
ZNF175,0.0804902285525008,-0.4452779795015902,0.0,-0.2227573858683612,4.142530528699132e-06
